scenario_id,business_journey,business_owner,test_data,result,defects,evidence_link
UAT-01,"Admin invites staff, enforces MFA, creates role/team and offboards a user with reassignment.",,,Not run,,
UAT-02,"Sales receives public lead, duplicate check runs, acknowledgement sends once, SLA/owner action appears.",,,Not run,,
UAT-03,Customer replies during sequence; future messages stop and reply enters owner queue.,,,Not run,,
UAT-04,"Sales qualifies/converts lead, advances opportunity with exit criteria, issues approved quote.",,,Not run,,
UAT-05,"Opportunity wins once; onboarding, success and renewal records are created without duplication.",,,Not run,,
UAT-06,"Onboarding requests customer input through portal, tracks blocker and completes with feedback.",,,Not run,,
UAT-07,"Support email creates/threads ticket, meets/violates SLA fixtures, resolves, reopens and requests CSAT.",,,Not run,,
UAT-08,Low feedback opens recovery and suppresses promotional/advocacy communication.,,,Not run,,
UAT-09,Health worsens from support/feedback evidence; success plan and renewal risk path appear.,,,Not run,,
UAT-10,"Import previews duplicates/errors, commits in chunks, releases safely and supports rollback report.",,,Not run,,
UAT-11,"Portal user cannot access another organization’s ticket, file, onboarding item or survey.",,,Not run,,
UAT-12,"Workflow simulation, activation, failure, dead-letter, replay and emergency stop are demonstrated.",,,Not run,,
UAT-13,"AI recommendation shows reasons/abstains, accepts feedback and never performs prohibited action.",,,Not run,,
UAT-14,Manager dashboard totals reconcile to drilldown; controlled export escapes formula injection.,,,Not run,,
UAT-15,Backup is restored to staging and sampled customer history/files/permissions reconcile.,,,Not run,,
