step_id,audience,route,screen_name,layout_family,desktop_reference_png,desktop_reference_html,mobile_reference_png,components_from_authoritative_matrix,required_states,visual_rule,success_evidence
S07,Staff,/login,Staff login,auth,references/01-login.png,prototype/screens/01-login.html,references/01-login.png,LoginPanel; EmailField; PasswordField; RateLimitNotice,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S08,Staff,/mfa/verify,MFA verification,security-auth,references/02-mfa.png,prototype/screens/02-mfa.html,references/02-mfa.png,OtpInput; RecoveryCodeMode; TrustedContextNotice,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S07,Public,/password-reset/request,Password reset request,auth,references/01-login.png,prototype/screens/01-login.html,references/01-login.png,EmailField; NeutralConfirmation,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S07,Public,/password-reset/confirm,Password reset confirmation,auth,references/01-login.png,prototype/screens/01-login.html,references/01-login.png,PasswordFields; TokenStatus; SuccessPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S08,Staff,/account/security,Account security,security-auth,references/02-mfa.png,prototype/screens/02-mfa.html,references/02-mfa.png,MfaCard; RecoveryCodes; AuthEventList; StepUpDialog,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S08,Staff,/account/sessions,Session inventory,security-auth,references/02-mfa.png,prototype/screens/02-mfa.html,references/02-mfa.png,SessionTable; RevokeDialog,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S05,Staff,/account/preferences,Staff UI preferences,generic-shell,references/00-design-system.png,prototype/screens/00-design-system.html,references/27-responsive-data-pattern.png,PreferenceForm; Preview,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S05,Staff,/,Operational home,desktop-shell,references/03-operational-home.png,prototype/screens/03-operational-home.html,references/28-mobile-home.png,AppShell; GlobalNav; PriorityQueue; KPIExceptionCards; RecentChanges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/work,Unified work queue,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,QueueFilters; RankedWorkList; BulkActionBar; QueueReason,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/work/tasks,Task list,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,FilterBar; TaskTable; SavedViewPicker; QuickCreate,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
