requirement_id,group,requirement,production_behavior_or_acceptance,acceptance_evidence,priority,owner,design_component,implementation_issue,test_case_ids,evidence_link,status,exception
UX-01,UX,"A universal search shall find organizations, contacts, leads, opportunities, tickets, onboarding cases and message subjects using normalized indexed fields.",,Results are permission-filtered before display; no cross-scope count leakage.,,,,,,,Not started,
UX-02,UX,"Every operational detail page shall show status, owner, next action, due time, key risk/score and recent history above the fold.",,A user can identify accountable person and immediate next step without changing tabs.,,,,,,,Not started,
UX-03,UX,"The customer 360 timeline shall use a normalized event model with filters for messages, calls, notes, tasks, stage changes, support, onboarding, feedback, files and automation.",,"Events remain chronological, attributable and deep-linkable.",,,,,,,Not started,
UX-04,UX,Mutating forms shall preserve entered values and show field-level errors; destructive actions require clear impact text.,,No validation failure discards valid user input.,,,,,,,Not started,
UX-05,UX,Long operations shall be queued and represented by a job status page; the initiating request shall return promptly.,,"No export, archive, import, bulk recalculation or mail batch blocks an HTTP request.",,,,,,,Not started,
UX-06,UX,"List views shall provide saved filters, column choice, pagination, bulk selection limits and export according to permission.",,"A saved view records owner, visibility and versioned filter definition.",,,,,,,Not started,
UX-07,UX,"Mobile layouts shall prioritize task completion, customer context, call/email actions and timeline entry.",,Core daily workflows pass responsive testing at 360 CSS pixels.,,,,,,,Not started,
UX-08,UX,All status colors shall be paired with text/icon meaning and meet accessible contrast.,,No state is communicated by color alone.,,,,,,,Not started,
UX-09,UX,Optimistic-lock conflicts shall show what changed and allow safe refresh/reapply.,,One user cannot silently overwrite another user’s newer edit.,,,,,,,Not started,
UX-10,UX,"The UI shall distinguish internal notes, customer-visible messages and portal-visible files with persistent labels.",,A visibility mistake requires explicit user override and is audit logged.,,,,,,,Not started,
UX-11,UX,"Administrative configuration shall show effective version, activation time, dependency impact and rollback option.",,A configuration change cannot be mistaken for immediate retroactive effect.,,,,,,,Not started,
UX-12,UX,"Keyboard navigation, visible focus, labels, error summaries and semantic headings shall meet WCAG 2.2 AA for applicable screens.",,Automated and manual accessibility tests pass release thresholds.,,,,,,,Not started,
STM-01,STM,"Each state machine shall define allowed transitions, required fields, required permission, entry action, exit action and SLA.",,Invalid transitions are rejected server-side with an actionable explanation.,,,,,,,Not started,
STM-02,STM,"Stage histories shall be append-only and store effective time, actor, reason and prior/new value.",,Reports can calculate velocity and reconstruct state at a historical date.,,,,,,,Not started,
STM-03,STM,Configuration changes shall create a new version and shall not reinterpret prior history.,,Historical records retain the stage/version valid at the event time.,,,,,,,Not started,
