build_step,requirement_id,group,owner,module,acceptance_method,requirement,acceptance_evidence_required,s00_evidence_target,implementation_gate,source_register_status,s00_status
S00,UX-01,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"A universal search shall find organizations, contacts, leads, opportunities, tickets, onboarding cases and message subjects using normalized indexed fields.",Results are permission-filtered before display; no cross-scope count leakage.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-02,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"Every operational detail page shall show status, owner, next action, due time, key risk/score and recent history above the fold.",A user can identify accountable person and immediate next step without changing tabs.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-03,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"The customer 360 timeline shall use a normalized event model with filters for messages, calls, notes, tasks, stage changes, support, onboarding, feedback, files and automation.","Events remain chronological, attributable and deep-linkable.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-04,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,Mutating forms shall preserve entered values and show field-level errors; destructive actions require clear impact text.,No validation failure discards valid user input.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-05,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,Long operations shall be queued and represented by a job status page; the initiating request shall return promptly.,"No export, archive, import, bulk recalculation or mail batch blocks an HTTP request.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-06,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"List views shall provide saved filters, column choice, pagination, bulk selection limits and export according to permission.","A saved view records owner, visibility and versioned filter definition.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-07,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"Mobile layouts shall prioritize task completion, customer context, call/email actions and timeline entry.",Core daily workflows pass responsive testing at 360 CSS pixels.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-08,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,All status colors shall be paired with text/icon meaning and meet accessible contrast.,No state is communicated by color alone.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-09,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,Optimistic-lock conflicts shall show what changed and allow safe refresh/reapply.,One user cannot silently overwrite another user’s newer edit.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-10,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"The UI shall distinguish internal notes, customer-visible messages and portal-visible files with persistent labels.",A visibility mistake requires explicit user override and is audit logged.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-11,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"Administrative configuration shall show effective version, activation time, dependency impact and rollback option.",A configuration change cannot be mistaken for immediate retroactive effect.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,UX-12,UX,Oghenemaro,frontend_experience_governance,Information architecture and accessibility content review,"Keyboard navigation, visible focus, labels, error summaries and semantic headings shall meet WCAG 2.2 AA for applicable screens.",Automated and manual accessibility tests pass release thresholds.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-01,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,"Each state machine shall define allowed transitions, required fields, required permission, entry action, exit action and SLA.",Invalid transitions are rejected server-side with an actionable explanation.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-02,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,"Stage histories shall be append-only and store effective time, actor, reason and prior/new value.",Reports can calculate velocity and reconstruct state at a historical date.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-03,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,Configuration changes shall create a new version and shall not reinterpret prior history.,Historical records retain the stage/version valid at the event time.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-04,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,An active lifecycle record shall require an owner and next action except where a documented waiting state supplies a wake-up date.,Nightly integrity checks create exceptions for violations.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-05,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,Waiting-for-customer states shall pause only the applicable SLA clock and shall preserve total elapsed time.,"SLA reports distinguish company time, customer-wait time and total elapsed time.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
