check_id,area,verification,pass_condition,evidence,status,owner,notes
TH-001,Plan identity,Confirm exact regional account and WebHosting Starter plan,Account matches declared deployment boundary,,,Technical lead,
TH-002,Python App,Open cPanel Setup Python App,Feature exists and supports Python 3.12 or approved 3.11 plus Passenger WSGI,,,Technical lead,
TH-003,Python packages,Install locked dependency preflight in disposable app,All production packages install from wheels/pure Python without compilation,,,Technical lead,
TH-004,Database,Create disposable MySQL/MariaDB database,Engine/version/charset/collation recorded; utf8mb4 works,,,Technical lead,
TH-005,Driver,Exercise Django CRUD/transactions/locks with selected driver,Integration suite passes on actual engine and driver,,,Technical lead,
TH-006,Cron,Create five-minute disposable cron,Cron starts reliably; overlapping invocation behavior measured,,,Operations,
TH-007,Mail,Create test SMTP/IMAP mailbox,TLS connect/send/receive/UID tracking works,,,Operations,
TH-008,SSL,Issue certificate for production and staging names,HTTPS valid; redirect and host handling verified,,,Operations,
TH-009,DNS,Inspect SPF/DKIM/DMARC tools,Company domain alignment and reporting policy documented,,,Operations,
TH-010,Filesystem,Create private paths outside public_html,Application can read/write; direct web access is impossible,,,Security,
TH-011,File permissions,Inspect account umask and permissions,Private files are not group/world readable beyond provider-required permissions,,,Security,
TH-012,Resource metrics,Open Metrics > Resource Usage,CPU/memory/EP/process/I/O measurements available,,,Operations,
TH-013,Database limit,Confirm current account single-DB limit,Published/actual 500 MB ceiling confirmed or discrepancy resolved,,,Technical lead,
TH-014,Email limit,Confirm actual per-hour and AUP limits,200/hour provider limit and no-bulk policy confirmed or discrepancy resolved,,,Product/Operations,
TH-015,Backups,Inspect JetBackup/provider backup scope,Database and private files are covered; restore path is known,,,Operations,
TH-016,Shell/Git,Verify controlled release transfer,Terminal/SSH/cPanel Git/FTP method works without production editing,,,Technical lead,
TH-017,Logs,Locate Passenger/web/app logs,Errors and access logs are readable; private rotating log path works,,,Operations,
TH-018,Restart,Restart disposable Python app,Build identifier changes and new code serves after documented restart,,,Technical lead,
TH-019,Staging,Create separate staging app/database/private paths,No shared credentials/files; outbound mail intercepted,,,Technical lead,
TH-020,Backup tool,Check mysqldump or approved fallback,Automated logical backup method completes and restores,,,Operations,
