step_id,audience,route,name,purpose,components,api_dependencies,server_query,mutations,state_handling,authorization,accessibility,p95_server_ms,max_db_queries,max_compressed_kb,success_criteria
S07,Staff,/login,Staff login,Authenticate invitation-only staff and start provisional/full session.,LoginPanel; EmailField; PasswordField; RateLimitNotice,POST /auth/login,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Submit credentials; preserve safe return path,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Public rate-limited; uniform account existence response,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1000,8,250,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1000 ms, SQL count ≤8, compressed transfer ≤250 KB; empty, invalid, conflict and dependency-failure states are useful."
S08,Staff,/mfa/verify,MFA verification,Complete privileged staff login using TOTP or a single-use recovery code.,OtpInput; RecoveryCodeMode; TrustedContextNotice,POST /auth/mfa/verify,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Verify code; rotate provisional session,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Provisional session only,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,900,8,220,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤900 ms, SQL count ≤8, compressed transfer ≤220 KB; empty, invalid, conflict and dependency-failure states are useful."
S07,Public,/password-reset/request,Password reset request,Request a non-enumerating reset link.,EmailField; NeutralConfirmation,POST /auth/password-reset/request,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Queue reset intent,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Public rate-limited,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1000,8,200,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1000 ms, SQL count ≤8, compressed transfer ≤200 KB; empty, invalid, conflict and dependency-failure states are useful."
S07,Public,/password-reset/confirm,Password reset confirmation,"Consume signed single-use token, set password and revoke sessions.",PasswordFields; TokenStatus; SuccessPanel,POST /auth/password-reset/confirm,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Confirm reset,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Signed token scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1200,10,220,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1200 ms, SQL count ≤10, compressed transfer ≤220 KB; empty, invalid, conflict and dependency-failure states are useful."
S08,Staff,/account/security,Account security,"Enroll MFA, rotate recovery codes and inspect recent authentication events.",MfaCard; RecoveryCodes; AuthEventList; StepUpDialog,Server-rendered view; API selected from implementation matrix by capability,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Enroll/confirm MFA; rotate codes,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Own identity; step-up for rotation,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1200,15,450,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1200 ms, SQL count ≤15, compressed transfer ≤450 KB; empty, invalid, conflict and dependency-failure states are useful."
S08,Staff,/account/sessions,Session inventory,Review and revoke active server-side sessions.,SessionTable; RevokeDialog,Server-rendered view; API selected from implementation matrix by capability,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Revoke one/all sessions,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Own sessions; admin separate capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1000,12,350,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1000 ms, SQL count ≤12, compressed transfer ≤350 KB; empty, invalid, conflict and dependency-failure states are useful."
S05,Staff,/account/preferences,Staff UI preferences,"Set timezone display, density, notification and accessibility preferences.",PreferenceForm; Preview,Server-rendered view; API selected from implementation matrix by capability,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Update permitted settings,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Own account,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,900,8,250,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤900 ms, SQL count ≤8, compressed transfer ≤250 KB; empty, invalid, conflict and dependency-failure states are useful."
S05,Staff,/,Operational home,"Show personal priorities, replies, approvals, overdue items, escalations and recent changes.",AppShell; GlobalNav; PriorityQueue; KPIExceptionCards; RecentChanges,GET /work-queue; GET /notifications; GET /operations/health (privileged card only),Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Claim/complete/open work,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Scope-aware dashboard,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,30,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤30, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/work,Unified work queue,"Rank mandatory work transparently across tasks, replies, approvals, SLA exceptions, recovery and failures.",QueueFilters; RankedWorkList; BulkActionBar; QueueReason,GET /work-queue; GET/POST/PATCH /tasks; POST task commands; GET/POST /activities,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Claim, complete, delegate, snooze, release",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Queue membership + source-object permission,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,22,900,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤22, compressed transfer ≤900 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/work/tasks,Task list,Search and manage owned/team tasks with due-state and source context.,FilterBar; TaskTable; SavedViewPicker; QuickCreate,GET /work-queue; GET/POST/PATCH /tasks; POST task commands; GET/POST /activities,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/complete/cancel/snooze/delegate,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Task object scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
