step_id,domain,service,responsibility,inputs,outputs,tables,transaction_boundary,events_and_jobs,authorization_policy,failure_handling,tests,success_criteria
S03,common,RequestContext,"Create correlation ID, actor identity, effective/original actor, locale, timezone and release context for every request/command.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"auth_events, command_runs, audit_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S03,common,ProblemDetailsService,Map typed application exceptions to stable RFC 9457 problem documents without secrets.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,system_incidents,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S04,common,ApiContractService,"Enforce media types, request size, schema validation, ETag/If-Match, idempotency and response envelopes.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,none,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S04,common,CursorPaginationService,Generate tamper-resistant keyset cursors and bounded page metadata.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,none,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S04,common,IdempotencyService,"Reserve, replay and expire command keys with request hash and immutable result reference.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"domain_events, outbox_messages, scheduled_jobs","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S04,common,OptimisticLockService,Compare expected record version and return field-aware conflict evidence.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,all mutable current-state tables,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S06,common,DatabasePolicy,"Provide base models, public IDs, UTC timestamps, soft deletion, row versions, check constraints and migration helpers.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,all tables,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S03,operations,StructuredLoggingService,"Emit redacted JSON lines with correlation, release, actor class, duration and outcome.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"command_runs, system_incidents","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S03,operations,HealthEvidenceService,Record freshness-based dependency state instead of treating absence of errors as green.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"system_metrics, command_runs","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S11,common,PrivateStorageService,"Generate randomized two-level paths, stream safe downloads, checksum, classify and age temporary files.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"file_assets, archive_manifests","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
