step_id,phase,title,objective,why_it_exists,prerequisites,frontend_build,backend_build,database_build,ordered_procedure,security_controls,performance_budget,testing_required,success_looks_like,deliverables
S00,Phase 0 — Decision and hosting lock,"Freeze product, policy and company configuration","Turn the PRD into approved company-specific dictionaries, owners, policies and a traceable implementation baseline.","Code cannot correctly infer the company timezone, products, roles, consent purposes, stages, SLA, retention or recovery authority. Building before these decisions creates hidden rework and unsafe defaults.","Approved PRD; named sponsor, product, technical, security/privacy and process owners.","Build no customer UI yet. Produce information architecture diagrams, role journey maps, screen inventory, content vocabulary, status labels and accessibility content rules. Prototype only to validate flow, not to ship.","Create ADR template, requirement registry, threat-model template, data dictionary, domain glossary, capability catalogue, state-machine catalogue, event catalogue, API style guide and change-control process.","Define canonical identifiers, timezone/currency semantics, record classes, retention classes and preliminary table/storage budgets. No production migrations yet.",1) Name owners. 2) Complete Section 19.4 decisions. 3) Walk every lifecycle. 4) Define normal/exception/failure paths. 5) Approve status/reason codes. 6) Map every PRD ID to planned component/test. 7) Sign build-freeze record.,"Complete threat model, data classification, privacy purpose map, privilege conflicts and accepted boundary risks before implementation.","Estimate record volumes, file growth, mail volume, concurrency and database size. Reject requirements that exceed the shared-host envelope unless architecture change is approved.",Review workshops; requirement completeness audit; state-transition walkthrough; role authorization matrix; threat-model review.,"Every mandatory requirement has an owner, module, acceptance method and no unresolved ambiguous policy. Process owners can explain exactly who acts, when, with what evidence and what stops automation.",Signed configuration decision register; ADR set; threat model v1; capability matrix; state/event dictionaries; screen/API inventories; traceability matrix.
S01,Phase 0 — Decision and hosting lock,Execute the actual Truehost Starter preflight,Prove the account can run the selected production architecture and record exact versions/limits/paths.,"Marketing pages are not the runtime contract. Python, Passenger, database engine, Cron, mail, backup and access methods must be verified in the real account.",Truehost Starter credentials and cPanel access; preflight checklist.,"No production frontend. Create a temporary non-public diagnostic page only if needed, then remove it.","Deploy a minimal Django probe through Setup Python App, verify Passenger startup/restart, environment settings, database transaction/Unicode, private paths, cron, SMTP/IMAP, logs and backup interface.","Create disposable preflight database/user with utf8mb4; measure engine/version, transaction isolation, foreign keys, select-for-update and size reporting. Delete after evidence.",1) Record cPanel features. 2) Create Python app. 3) Install pinned probe dependencies. 4) Test WSGI. 5) Test DB driver candidates. 6) Run cron overlap test. 7) Send/receive only test mailboxes. 8) verify SSL/DNS/logs/backup. 9) Record resource baselines. 10) sign compatibility matrix.,Never expose diagnostics publicly; do not place secrets in commands/logs; use test mailboxes; remove probe tokens/data.,"Record cold/warm request latency, process memory, connection behavior, cron runtime and database migration temporary space.",Passenger restart; HTTPS/host; DB transaction/locking; SMTP/IMAP dedupe; cron lease; private file denial; backup readability.,The actual account passes all mandatory capabilities. Exact Python/Django/driver/DB/Cron/mail paths are frozen. Any missing mandatory capability triggers an approved architecture decision rather than a workaround hidden in code.,Signed Truehost preflight report; compatibility matrix; selected Python/driver; directory paths; Cron/mail settings; capacity baseline.
S02,Phase 1 — Platform foundation,"Create repository, dependency lock and delivery controls",Establish a reproducible codebase and review process before domain work.,"A production system is not dependable when dependencies, migrations, releases or ownership cannot be reconstructed.",S00 decisions; S01 compatibility matrix.,"Create `templates`, `static_src`, `static_build`, locale folders, design-token source and browser-test harness. Add a plain base page proving local assets and no CDN dependency.","Create Django project/settings split, domain app shells, common packages, typing/lint/test configuration, requirements input/lock, release manifest generator, architecture tests and secure contribution workflow.",Create no business tables beyond a migration metadata probe. Define migration naming/review policy and test database creation.,1) Initialize version control. 2) Add protected main/release branches. 3) Create app boundaries. 4) Pin dependencies with hashes. 5) Add SBOM/license/vulnerability tasks. 6) Configure unit/integration/browser/security test commands. 7) Add CI-equivalent local release script. 8) document review/merge/release rules.,"Secret scan, dependency review, signed/reviewed commits where practical, least access to repository, no production credentials in fixtures.",Dependency installation must fit account without compilation; test suite startup should remain fast; static bundle target established.,Clean environment rebuild; locked hash install; architecture import rules; secret scan; dependency vulnerability review.,"A new engineer can clone, install, run MySQL/MariaDB tests and build assets exactly from documented commands. A release manifest identifies commit, dependencies and migrations.",Repository skeleton; requirements lock; SBOM; engineering standards; review checklist; release script; local environment guide.
S03,Phase 1 — Platform foundation,"Build environment configuration, observability and health foundation","Make every request and scheduled command diagnosable, environment-safe and release-identifiable.",Failures on shared hosting must be understood without root access or an external monitoring service.,S02 repository; exact cPanel paths and environment support.,"Build base layout, branded error pages, maintenance page, correlation-ID display for errors, build badge visible only to admins and progressive enhancement hooks.","Implement production/staging settings validation, `DEBUG=False` refusal, exact hosts/origins, correlation middleware, typed errors, structured redacted logs, command-run records, freshness-based health evidence, build/config compatibility and maintenance flag.","Create releases, system_metrics, command_runs, system_incidents/incident_events and feature_flags foundations with indexes by state/time/severity.",1) Define environment schema. 2) Implement startup checks. 3) Add request correlation. 4) Add structured logging/redaction. 5) Add Problem Details mapping. 6) Create minimal public-safe and privileged health endpoints. 7) Add branded 400/403/404/409/412/422/429/500/503 pages. 8) prove logs rotate.,"Detailed health is privileged; public errors disclose no stack/path/version; log filters redact passwords, tokens, secrets, message bodies and unnecessary PII.",Middleware overhead target <20 ms p95; public error response <700 ms; health endpoint ≤15 SQL queries and <1 second p95.,"Settings refusal, host-header, HTTPS proxy assumptions, log redaction corpus, correlation propagation, stale-evidence state, error content review.",Every request/command has one correlation ID and release ID; support can trace failures without secrets; stale dependencies become warning/critical; production never exposes debug details.,Settings schema; environment example; logging policy; health model/endpoints; error templates; maintenance framework; operations dashboard shell.
S04,Phase 1 — Platform foundation,"Implement the private API contract, concurrency and idempotency",Create one consistent HTTP contract shared by all later modules.,"Without a fixed contract, different modules drift in errors, pagination, authorization, retries and concurrent-update behavior.",S03 request context/error framework.,"Build reusable form/HTMX response conventions: full-page vs fragment negotiation, progressive fallback, optimistic-conflict component, async job status component and toast/live-region policy.","Implement `/api/v1` response envelopes, RFC 9457 errors, keyset pagination, allowlisted filters/sorts/includes/fields, CSRF/session auth, media-type validation, ETag generation, If-Match enforcement, idempotency reservation/replay and request/payload limits.",Create reusable idempotency storage or integrate uniqueness into effect tables; add row-version/public-ID fields and query-budget instrumentation. Do not create generic database-driven API definitions.,1) Freeze naming/status/header rules. 2) Implement response factories. 3) Implement cursor signing. 4) Implement schema validation. 5) implement optimistic lock. 6) implement idempotency request hash/result replay. 7) add rate-limit response with Retry-After. 8) generate OpenAPI. 9) contract-test every pattern.,"No CORS, bearer tokens, public keys, GraphQL, raw query language, arbitrary includes or mass assignment. Authorization occurs before counting/pagination.",Envelope overhead small; simple read p95 ≤1.2s; mutation acknowledgement p95 ≤1.8s; list query ≤18 SQL; max page size 100.,"Contract tests for 200/201/202/204, every Problem status, stale edit, replay same/different body, cursor tamper, excessive page/filter/include, CSRF and content type.","All later endpoints inherit identical headers, errors and limits. Duplicate command replay returns the original logical result; stale updates never silently overwrite; unauthorized counts stay hidden.",API style guide; middleware/decorators; pagination/idempotency/locking libraries; common schemas; OpenAPI generation; contract test suite.
S05,Phase 1 — Platform foundation,"Build the frontend design system, application shell and interaction rules","Create a fast, accessible, reusable server-rendered UI foundation for every staff and portal workflow.","A large CRM becomes inconsistent and error-prone if each screen invents forms, tables, status, validation and responsive behavior.",S03 errors/maintenance; S04 HTTP conventions; approved information architecture.,"Implement design tokens, typography, spacing, focus, contrast, buttons, links, fields, error summaries, tables/cards, badges, tabs, breadcrumbs, dialogs, drawers, pagination, filters, saved-view controls, timeline, activity composer, file component, skeletons, empty states, 412 conflict UI, async job status and responsive shell. Bundle HTMX locally; every enhanced flow has normal HTTP fallback.","Create view mixins/context processors for navigation permissions, active module, breadcrumbs, correlation, feature flags, messages and fragment rendering. Centralize form field policy and template component APIs.",No domain tables. Optionally persist staff UI preferences in a small governed profile table or user settings JSON with strict schema.,1) Define tokens/content rules. 2) Build semantic base shell. 3) Build components in isolation. 4) add keyboard/focus behaviors. 5) add responsive 360px variants. 6) add HTMX loading/error/conflict handling. 7) add local asset fingerprint/build. 8) create visual/accessibility regression checklist.,CSP-compatible local assets; no unsafe inline script; auto-escaping; sanitized rich text only through reviewed component; destructive actions require impact/reason.,Normal compressed page ≤1.5 MB; CSS/JS initial bundle target ≤250 KB compressed; shell server render ≤900 ms; no layout-shifting external fonts.,"Keyboard-only, focus not obscured, 200% zoom, 360px reflow, screen-reader landmarks/forms/status, no-color-only meaning, JS-disabled core flow, CSP test.","Every later screen can be assembled from reviewed components, behaves consistently on errors/conflicts/mobile, and completes critical operations without a SPA or mouse-only action.",Design system documentation; component templates; local asset pipeline; shell/navigation; accessibility checklist; frontend test helpers.
S06,Phase 1 — Platform foundation,"Implement database conventions, constraints and migration safety",Create the relational foundation that protects data even when application code fails.,"Production reliability depends on database uniqueness, foreign keys, append-only history and safe migrations—not only Python validation.",S01 database/driver evidence; S02 repository; data model approval.,No user feature beyond admin compatibility page. Add developer-only schema documentation generated from models/migrations.,"Implement abstract current-state model, immutable event model, public ULID generation, UTC timestamps, row version, actor references, soft deletion, money/currency types, schema-validated JSON helper, check/unique constraints, transaction helper and migration lock.",Create foundational account/governance/operations tables in dependency order. Use InnoDB/utf8mb4; explicit index names; no BLOBs; no cascade that destroys audit/history.,1) Confirm engine/strict mode/collation. 2) implement base fields/managers. 3) define deletion semantics. 4) create initial migrations. 5) test constraints against concurrent writes. 6) establish expand-migrate-contract process. 7) measure migration space/time on copy-sized data. 8) document rollback/forward repair.,Least-privileged DB user; parameterized ORM; raw SQL isolated/reviewed; sensitive migrations require backup and maintenance plan.,Standard point lookup uses public ID unique index; no migration approaches provider ceiling; locks remain short; schema-heavy deployment blocked at safe measured threshold.,"MySQL/MariaDB integration, Unicode/Decimal/timezone, FK/check/unique, concurrent insert/update, migration forward/back/repair, table-size projection.",The database rejects duplicate identities/idempotency keys and invalid state even under race conditions. A migration rehearsal predicts time/space and has an approved recovery path.,Base models; initial migrations; DB compatibility tests; migration runbook; schema/index conventions; size measurement command.
S07,Phase 1 — Platform foundation,"Build invitation-only identity, login and account recovery",Create accountable staff/portal identities without public registration.,"Every later action requires stable actor identity, secure authentication and revocable access.",S04 API; S05 forms; S06 account tables.,"Build staff invitation acceptance, login, password reset request/confirm, neutral success pages and administrator user/invitation screens. Preserve form values safely and never reveal account existence.","Implement custom user model, normalized verified email, invitation issuance/consumption, password policy/hash upgrade, login throttles, provisional/full session creation, reset token hash/expiry/replay prevention and auth event recording.","Create users, staff_invitations, portal_invitations, login_throttles, auth_events and user_sessions with normalized-email uniqueness and token-hash indexes.",1) Create custom user before dependent migrations. 2) implement admin invitation. 3) implement token hashing. 4) implement login and throttle. 5) implement reset. 6) revoke sessions after reset. 7) add security notifications. 8) prohibit registration routes. 9) add complete negative tests.,Uniform failure text/timing; Secure/HttpOnly/SameSite cookies; compromised/common password controls; no password/token logging; reset links single-use and purpose-bound.,Login/reset p95 ≤1.0s excluding email delivery; ≤8 DB queries; throttle checks indexed and bounded; password hasher benchmarked on actual host.,Invitation expiry/reuse/wrong email; enumeration; brute force; reset replay; disabled user; hash upgrade; session revocation; CSRF; open redirect.,Only an authorized invitation creates access; account history survives email change/disable; repeated attack traffic is limited without locking out the whole application.,Identity models/services; auth screens/endpoints; admin invitation UI; password policy; auth event/security tests; staff onboarding guide.
S08,Phase 1 — Platform foundation,"Build MFA, session inventory and privileged step-up",Protect high-impact staff actions and make sessions individually controllable.,Password-only compromise is an unacceptable risk for a system containing all customer data and automation controls.,S07 identity/login.,"Build TOTP enrollment/confirmation, MFA challenge, recovery-code display/rotation, session inventory/revoke and step-up dialog preserving intended action.","Implement encrypted/secret-safe TOTP storage, two-code enrollment confirmation, hashed recovery codes, role enforcement/grace period, provisional session, session registry, idle/absolute expiry, password/role/disable revocation and recent-auth policy.",Create mfa_devices and mfa_recovery_codes; index active device/user and code hash; retain auth events without secrets.,1) Generate local secret/QR. 2) verify two codes. 3) issue codes once. 4) enforce privileged role MFA. 5) list/revoke sessions. 6) implement step-up token bound to session/action/age. 7) create admin reset process. 8) test recovery/break-glass.,Never log/display seed after enrollment; recovery codes hashed and one-use; step-up cannot be replayed across session/action; privileged session revocation immediate.,MFA verify p95 ≤900ms and ≤8 queries; no long-lived QR/seed page cache; session lookup indexed.,"Clock skew boundaries, recovery reuse, code exhaustion, role elevation, session theft/expiry, password reset revocation, step-up age/action binding, accessible authentication.",Privileged users cannot proceed without MFA; every session is visible/revocable; recovery works through audited policy without bypassing accountability.,MFA/session services and screens; recovery procedure; step-up middleware; break-glass runbook and quarterly drill script.
S09,Phase 1 — Platform foundation,"Build authorization, roles, teams, queues, delegation and offboarding","Enforce least privilege for every object, field, count, export, file and background action.",Broken object-level authorization is the highest-impact failure for staff and customer portal data.,S07-S08 identity; approved capability and scope matrix.,"Build role/capability, teams, queues, memberships, delegations, record grants and controlled offboarding screens. Hide unavailable actions but never rely on hiding for security.",Implement central authorization service and permission-scoped selectors; capability bundles/versioning; own/team/queue/specific/company scope; field read/write/export policy; contextual constraints; immediate permission changes; offboarding inventory/reassignment.,"Create roles, capabilities, role_capabilities, user_roles, teams, team_members, work_queues, queue_memberships, delegations and record_grants with effective dates and authority constraints.",1) Seed atomic capabilities. 2) implement role versions. 3) implement scope query builders. 4) implement object checks. 5) implement field policy. 6) enforce on list/count/search/detail/mutation/export/file/job. 7) add delegation. 8) add offboarding. 9) generate authorization matrix tests.,Default deny; actor cannot grant beyond own authority; portal boundary is separate policy; high-risk grants and offboarding require reason/step-up; no superuser shortcut in application services.,Permission filtering must use indexes and occur before pagination; authorization overhead target <50ms p95 on standard queries; no per-row policy N+1.,Role × scope × field × action matrix; direct URL; altered IDs; counts; search; aggregates; export; file; job replay; delegation expiry; inactive owner; four-eyes conflict.,A single test suite proves each role sees and changes exactly its permitted data across every path. Offboarding leaves no active object assigned to disabled users.,Capability registry; authorization/selectors; admin UI; matrix tests; role defaults; offboarding/delegation runbooks.
