method,path,tag,operation_id,summary,auth,success,if_match,idempotency_key,async_job,query_parameters,notes,step_id,p95_ms,p99_ms,max_db_queries,max_request_kb,max_response_kb,max_page_size,example_query_string,query_plan,required_indexes,cache_policy,request_example,response_example,required_headers,expected_errors,success_criteria,request_media_type,response_media_type,transaction_timeout_ms,rate_limit_policy
GET,/staff-invitations,Administration,getStaffInvitations,List staff invitation records,staff,200,False,False,False,"Cursor,Limit,Sort,Filter,Fields,Include",,S07,1500,3200,18,16,512,100,?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at,"SELECT allowlisted list columns FROM staff_invitations WHERE actor_scope_predicate AND active_predicate AND (updated_at, public_id) < (?, ?) ORDER BY updated_at DESC, public_id DESC LIMIT 26; batch-load only requested allowlisted relationships.","UNIQUE(public_id); INDEX(state, updated_at, public_id); INDEX(updated_at, public_id)","private, no-store",,"{""data"":[{""type"":""staff-invitation"",""id"":""01K2STAFFINV00000000000000"",""version"":7,""attributes"":{""state"":""ACTIVE"",""name"":""Staff Invitation""}}],""links"":{""self"":""/api/v1/staff-invitations?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at"",""next"":""/api/v1/staff-invitations?page[after]=01K2NEXT00000000000000000&page[size]=25""},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""page_size"":25,""has_more"":true}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1500 ms and p99 ≤3200 ms on the representative mixed workload, uses ≤18 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
POST,/staff-invitations,Administration,postStaffInvitations,Create one staff invitation,staff,201,False,True,False,,,S07,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM staff_invitations with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""data"":{""type"":""staff-invitation"",""attributes"":{""state"":""ACTIVE"",""name"":""Staff Invitation""}}}","{""data"":{""type"":""staff-invitation"",""id"":""01K2STAFFINV00000000000000"",""version"":8,""attributes"":{""state"":""ACTIVE"",""name"":""Staff Invitation"",""last_action"":""STAFF_INVITATIONS"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | Idempotency-Key: <UUID> | Content-Type: application/json,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
DELETE,/staff-invitations/{id},Administration,deleteStaffInvitationsId,Retire or soft-delete one staff invitation,staff,204,True,False,False,,,S07,1800,3500,22,16,512,0,,"BEGIN; SELECT target rows FROM staff_invitations with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""reason_code"":""ADMIN_RETIRE"",""comment"":""Reviewed and approved.""}",,"Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7""",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,none,5000,staff per-session plus global resource guard
GET,/staff-invitations/{id},Administration,getStaffInvitationsId,Get one staff invitation,staff,200,False,False,False,"Fields,Include",,S07,1200,2800,25,16,512,0,"?fields[staff-invitation]=id,state,owner_id,updated_at&include=owner",SELECT the authorized staff-invitation by public_id with actor scope in the same query; join current owner/state only; prefetch bounded child collections requested by include; return 404 before unrestricted data is materialized.,UNIQUE(public_id),"private, no-store",,"{""data"":{""type"":""staff-invitation"",""id"":""01K2STAFFINV00000000000000"",""version"":8,""attributes"":{""state"":""ACTIVE"",""name"":""Staff Invitation""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1200 ms and p99 ≤2800 ms on the representative mixed workload, uses ≤25 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
POST,/staff-invitations/{id}/resend,Administration,postStaffInvitationsIdResend,Resend a still-valid invitation without changing identity,staff,201,False,True,False,,,S07,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM resends with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""data"":{""type"":""resend"",""attributes"":{""state"":""ACTIVE"",""name"":""Resend""}}}","{""data"":{""type"":""resend"",""id"":""01K2RESEND0000000000000000"",""version"":8,""attributes"":{""state"":""ACTIVE"",""name"":""Resend"",""last_action"":""RESEND"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | Idempotency-Key: <UUID> | Content-Type: application/json,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/auth/login,Authentication,login,Authenticate a staff user and begin a provisional or full session,public,200,False,False,False,,,S07,1800,3500,12,1024,512,0,,"BEGIN; SELECT target rows FROM logins with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""email"":""engineer@example.org"",""password"":""<redacted>"",""remember_me"":false}","{""data"":{""type"":""authentication-session"",""id"":""01K2AUTHENTI00000000000000"",""version"":8,""attributes"":{""state"":""MFA_REQUIRED"",""challenge_id"":""01K2CHALLENGE00000000000001"",""expires_at"":""2026-07-14T08:05:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001""}}",Accept: application/json | X-Correlation-ID: <ULID> | Content-Type: application/json,400 malformed; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤12 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,application/json,5000,public-form strict per-IP/session/token
POST,/auth/logout,Authentication,logout,Revoke the current session,staff,204,False,False,False,,,S07,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM logouts with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""data"":{""type"":""logout"",""attributes"":{""state"":""ACTIVE"",""name"":""Logout""}}}",,Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,none,5000,staff per-session plus global resource guard
POST,/auth/password-reset/confirm,Authentication,confirmPasswordReset,Consume a single-use reset token and revoke sessions,public,204,False,False,False,,,S07,1800,3500,12,1024,512,0,,"BEGIN; SELECT target rows FROM confirms with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""token"":""<single-use-token>"",""new_password"":""<redacted>"",""confirm_password"":""<redacted>""}",,Accept: application/json | X-Correlation-ID: <ULID>,400 malformed; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤12 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,none,5000,public-form strict per-IP/session/token
POST,/auth/password-reset/request,Authentication,requestPasswordReset,Request a non-enumerating password reset link,public,202,False,False,False,,,S07,1800,3500,12,1024,512,0,,"BEGIN; SELECT target rows FROM requests with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""email"":""engineer@example.org""}","{""data"":{""type"":""password-reset-request"",""id"":""01K2JOB000000000000000001"",""attributes"":{""state"":""ACCEPTED"",""submitted_at"":""2026-07-14T08:00:00Z"",""status_url"":""/api/v1/jobs/01K2JOB000000000000000001""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001""}}",Accept: application/json | X-Correlation-ID: <ULID> | Content-Type: application/json,400 malformed; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤12 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,application/json,5000,public-form strict per-IP/session/token
GET,/auth/events,Authentication,getAuthEvents,List the current user security and authentication events,staff,200,False,False,False,"Cursor,Limit,Sort,Filter",,S08,1500,3200,18,16,512,100,?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at,"SELECT allowlisted list columns FROM events WHERE actor_scope_predicate AND active_predicate AND (updated_at, public_id) < (?, ?) ORDER BY updated_at DESC, public_id DESC LIMIT 26; batch-load only requested allowlisted relationships.","UNIQUE(public_id); INDEX(state, updated_at, public_id); INDEX(updated_at, public_id)","private, no-store",,"{""data"":[{""type"":""event"",""id"":""01K2EVENT00000000000000000"",""version"":7,""attributes"":{""state"":""ACTIVE"",""name"":""Event""}}],""links"":{""self"":""/api/v1/auth/events?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at"",""next"":""/api/v1/auth/events?page[after]=01K2NEXT00000000000000000&page[size]=25""},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""page_size"":25,""has_more"":true}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1500 ms and p99 ≤3200 ms on the representative mixed workload, uses ≤18 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
